ComentarioCrudo,ComentarioLimpio
Que lamentable,Que lamentable
"Niños bellos crecerán sin ver a papá, papá sin ver a sus hijos crecer
.","Niños bellos crecerán sin ver a papá, papá sin ver a sus hijos crecer
."
"Descanse en paz ,mi mas sentido pesame a la Familia","Descanse en paz ,mi mas sentido pesame a la Familia"
Descanse en paz y pesames a su flia,Descanse en paz y pesames a su flia
Dios no hay palabras .,Dios no hay palabras .
"Que en paz descance
mucha luz para su alma","Que en paz descance
mucha luz para su alma"
Qué tristeza!,Qué tristeza!
DIOS MIO QUE TRAGEDIA POBRE FAMILIA DIOS LOS RECIBA EN SU SANTO SENO Y A LA FAMILIA LOS LLENE DE FORTALEZA EN ESTE MOMENTO TAN DEVASTADOR,DIOS MIO QUE TRAGEDIA POBRE FAMILIA DIOS LOS RECIBA EN SU SANTO SENO Y A LA FAMILIA LOS LLENE DE FORTALEZA EN ESTE MOMENTO TAN DEVASTADOR
"Que triste, demasiado triste","Que triste, demasiado triste"
Fuerza a la Familia Que el QEPD,Fuerza a la Familia Que el QEPD
Que Dios les de consuelo para llevar esta terrible tragedia .,Que Dios les de consuelo para llevar esta terrible tragedia .
Que pesar!! Dios de fortaleza a su familia y consuele el corazón de su Madre que hoy pierde a dos hijos,Que pesar!! Dios de fortaleza a su familia y consuele el corazón de su Madre que hoy pierde a dos hijos
Muy triste!!!,Muy triste!!!
Cuánta tristeza,Cuánta tristeza
QEPD,QEPD
Que Dios les de mucha fortaleza,Que Dios les de mucha fortaleza
Dios les dé mucha fortaleza,Dios les dé mucha fortaleza
QEPD,QEPD
Y tambien a a unos padres q jamás olvidarán a sus hijos,Y tambien a a unos padres q jamás olvidarán a sus hijos
Dios guarde su familia,Dios guarde su familia
Exceso de velocidad o borracho para que el carro se isera pedazo,Exceso de velocidad o borracho para que el carro se isera pedazo
Q.E.D Diego Jota.Una tragedia muy grande.Mis condolencias para toda su familia.,Q.E.D Diego Jota.Una tragedia muy grande.Mis condolencias para toda su familia.
DIOS MÍO K TRISTEZA Y DOLOR PARA LA FAMILIA. BENDITO DIOS DA EL CONSUELO Y EL DESCANSO ETERNO PARA LOS FALLECIDOS. MIS CONDOLENCIAS PARA SUS FAMILIARES . AMÉN.,DIOS MÍO K TRISTEZA Y DOLOR PARA LA FAMILIA. BENDITO DIOS DA EL CONSUELO Y EL DESCANSO ETERNO PARA LOS FALLECIDOS. MIS CONDOLENCIAS PARA SUS FAMILIARES . AMÉN.
"Cómo duele la partida de familiares, dios consuele el corazón de su familia, esposa e hijos","Cómo duele la partida de familiares, dios consuele el corazón de su familia, esposa e hijos"
Descansa en paz,Descansa en paz
Una pena mucha fuerza para su esposa y familia que descansen en paz,Una pena mucha fuerza para su esposa y familia que descansen en paz
EPD los hermanos triste noticia,EPD los hermanos triste noticia
Que lastima descanse en paz,Que lastima descanse en paz
Que irónica pareciera la vida ! Muy triste .,Que irónica pareciera la vida ! Muy triste .
Rip,Rip
"Q.E.P.D.,Y DIOS LE DE FUERZA A SU FAMILIA","Q.E.P.D.,Y DIOS LE DE FUERZA A SU FAMILIA"
Que triste noticia para el fútbol europeo mis condolencias para la familia y sus 3 niños y su esposa,Que triste noticia para el fútbol europeo mis condolencias para la familia y sus 3 niños y su esposa
Dios lo tenga en su santa gloria,Dios lo tenga en su santa gloria
En paz descanse,En paz descanse
Que triste mano,Que triste mano
"A veces la juventud y el espíritu libre, nos lleva a cometer errores qué podemos lamentar personalmente o la familia. La velocidad en vehículos es algo solo para expertos y no para cualquier ser humano.","A veces la juventud y el espíritu libre, nos lleva a cometer errores qué podemos lamentar personalmente o la familia. La velocidad en vehículos es algo solo para expertos y no para cualquier ser humano."
Dios te Bendiga,Dios te Bendiga
Muy triste noticia,Muy triste noticia
Sinto muito,Sinto muito
"Así es la vida como dios no las quiere dar, fortaleza para la familia","Así es la vida como dios no las quiere dar, fortaleza para la familia"
Q.E.P.D,Q.E.P.D
QEPD,QEPD
Dios les de fortaleza a sus padres esposa e hijos. Q.E.P.D,Dios les de fortaleza a sus padres esposa e hijos. Q.E.P.D
"Cuánta miseria humana!!Se ha caído tan bajo que muchísimas personas salen de la triste noticia de la muerte de una persona,para pelear y agredirse verbalmente!!Un asco!!","Cuánta miseria humana!!Se ha caído tan bajo que muchísimas personas salen de la triste noticia de la muerte de una persona,para pelear y agredirse verbalmente!!Un asco!!"
"Muchas veces se muere la gente sin tener personalmente la culpa,pero otras veces desafían a la vida creyendo que no les va a pasar nada!!Pero de todas formas hay que ser compasivo!","Muchas veces se muere la gente sin tener personalmente la culpa,pero otras veces desafían a la vida creyendo que no les va a pasar nada!!Pero de todas formas hay que ser compasivo!"
Descanse en paz,Descanse en paz
Fortaleza a su familia y descansen en paz amen,Fortaleza a su familia y descansen en paz amen
"que Dios le dea fortaleza y resignación a los padres ,y tbm consuelo a su esposa y niños,que dolor madre mía... que Dios los tenga en su santa gloria,mis condolencias a toda la familia","que Dios le dea fortaleza y resignación a los padres ,y tbm consuelo a su esposa y niños,que dolor madre mía... que Dios los tenga en su santa gloria,mis condolencias a toda la familia"
Que impotencia ante semejante tragedia.muy triste.,Que impotencia ante semejante tragedia.muy triste.
Que triste,Que triste
Descansa en paz campeón,Descansa en paz campeón
Descansa en los brazos del señor crack un abrazo asta el cielo,Descansa en los brazos del señor crack un abrazo asta el cielo
Muy triste noticia paz y fortaleza para la familia q duro,Muy triste noticia paz y fortaleza para la familia q duro
Es difícil entenderlo pero es así que trizteza,Es difícil entenderlo pero es así que trizteza
Que injusta es la vida descanse en paz,Que injusta es la vida descanse en paz
Q tristeza descanse en la paz del señor Crack,Q tristeza descanse en la paz del señor Crack
"Es una lamentable noticia, es una pena que Diogo Jota no pueda ver al Real Madrid Campeón del Mundial de Clubes 2025.","Es una lamentable noticia, es una pena que Diogo Jota no pueda ver al Real Madrid Campeón del Mundial de Clubes 2025."
Así es la vida hoy estás maña no se sabe descansa en PAS jota,Así es la vida hoy estás maña no se sabe descansa en PAS jota
EPD campeón mis condolencias para su familia y amistades,EPD campeón mis condolencias para su familia y amistades
Que triste,Que triste
Hoy puedo decir vi jugar a Diogo Jota,Hoy puedo decir vi jugar a Diogo Jota
Q.E.P.D,Q.E.P.D
"Que lastima, un abrazo a la flia,. De ARGENTINA.","Que lastima, un abrazo a la flia,. De ARGENTINA."
"Por qué estrellarse contra la vida...vean la foto, ya tenía 3 hijos, se casó luego de los hijos (eso no juzgo es muy su decisión), a lo que me voy es que Dios le permitió disfrutar muchas cosas y me alegro por él. No sé por qué quieren culpar a la vida.","Por qué estrellarse contra la vida...vean la foto, ya tenía 3 hijos, se casó luego de los hijos eso no juzgo es muy su decisión, a lo que me voy es que Dios le permitió disfrutar muchas cosas y me alegro por él. No sé por qué quieren culpar a la vida."
Uuufffff duele de masiado esa noticia no hay derecho q le pase esto a un jugador de fulbo sea donde sea señor Dios mio fortaleza a su familia,Uuufffff duele de masiado esa noticia no hay derecho q le pase esto a un jugador de fulbo sea donde sea señor Dios mio fortaleza a su familia
"No es por el fútbol, es por esos niños preciosos que quedan sin su padre","No es por el fútbol, es por esos niños preciosos que quedan sin su padre"
"Sin ser apasionado del futbol, o ser del equipo contrario, esta noticia duele imposible que no se haga un nudo en la garganta por donde se vea. Hace días festejando amigos familiares y ahora la tristeza invade pero más su esposa y sus pequeños. Dios les dé la fuerza para aceptar pérdida irreparable y les bendiga y alumbre el camino. En paz descansen","Sin ser apasionado del futbol, o ser del equipo contrario, esta noticia duele imposible que no se haga un nudo en la garganta por donde se vea. Hace días festejando amigos familiares y ahora la tristeza invade pero más su esposa y sus pequeños. Dios les dé la fuerza para aceptar pérdida irreparable y les bendiga y alumbre el camino. En paz descansen"
"Que tristeza, una tragedia, Que en Paz Descanse","Que tristeza, una tragedia, Que en Paz Descanse"
QEPD,QEPD
Descansen en paz,Descansen en paz
Q dolor más grande pero si Dios así lo quiso qse aga su voluntad,Q dolor más grande pero si Dios así lo quiso qse aga su voluntad
Luz!,Luz!
No me lo puedo creer,No me lo puedo creer
Que triste pobrecito,Que triste pobrecito
Si a veces tan injusta la vida q triste. Fuerza flia no hay palabras,Si a veces tan injusta la vida q triste. Fuerza flia no hay palabras
QEPD,QEPD
"Qué belleza d familia , destruida en segundo QEP","Qué belleza d familia , destruida en segundo QEP"
QEPD Fuerza a la familia esos ñiños tan pequeños no van a conocer a su Papa,QEPD Fuerza a la familia esos ñiños tan pequeños no van a conocer a su Papa
Doloroso paz en su tumba,Doloroso paz en su tumba
"EPD,muy triste noticia","EPD,muy triste noticia"
Qué pena!!,Qué pena!!
QEPD,QEPD
"Que tristeza,mucha fuerza para su familia","Que tristeza,mucha fuerza para su familia"
Dios bendito les dé fortaleza a toda la familia en este momento tan difícil.,Dios bendito les dé fortaleza a toda la familia en este momento tan difícil.
Dios los bendiga.fortaleza de los alto y Dios llene ese vacío que hay en su alma..,Dios los bendiga.fortaleza de los alto y Dios llene ese vacío que hay en su alma..
Dios lo bendiga y lo tenga en su reino mucha fortaleza para la familia,Dios lo bendiga y lo tenga en su reino mucha fortaleza para la familia
Que Dios le de toda la Fuerza a los familiares,Que Dios le de toda la Fuerza a los familiares
Bendiciones,Bendiciones
Dios lo tenga en la gloria,Dios lo tenga en la gloria
Que tristeza,Que tristeza
Zaira Albania Toledo Toledo qué tristeza padre y señor las leyes de la vida,Zaira Albania Toledo Toledo qué tristeza padre y señor las leyes de la vida
"Parece que todo es noticias farsa tan joven y que corta le fue su andar entre los mortales QEPD campeón
mi más sentido pésame para familiares y amigos","Parece que todo es noticias farsa tan joven y que corta le fue su andar entre los mortales QEPD campeón
mi más sentido pésame para familiares y amigos"
Así es la vida hoy estamos el mañana no existe por que no sabemos si lo vamos aver.que empas descanse Diego Jota resignación a su familia,Así es la vida hoy estamos el mañana no existe por que no sabemos si lo vamos aver.que empas descanse Diego Jota resignación a su familia
Menuda desgracia más grande .,Menuda desgracia más grande .
Descansa en paz,Descansa en paz
Aún no lo creo,Aún no lo creo
"Descansa en paz. Vuela alto y lejos. Fuerza y consuelo en algún momento para familiares, amigos y seguidores. Muy triste noticia.","Descansa en paz. Vuela alto y lejos. Fuerza y consuelo en algún momento para familiares, amigos y seguidores. Muy triste noticia."
Se estremece el mundo del futbol con esta triste noticia,Se estremece el mundo del futbol con esta triste noticia
Descansa en paz Diogo J,Descansa en paz Diogo J
Q.E.P.D. y brille para el la luz que no tiene fin,Q.E.P.D. y brille para el la luz que no tiene fin
"Lamentable, pero la vida es una sutileza que de Dios Goze...","Lamentable, pero la vida es una sutileza que de Dios Goze..."
Triste noticia,Triste noticia
"https://www.facebook.com/share/1XnuR7PpL3/ en un accidente automovilístico, el vehículo se incendio dicen...","en un accidente automovilístico, el vehículo se incendio dicen..."
"Es una noticia muy triste para cualquiera de nosotros aún sin conocerlo Ellos están en paz. Tener compasión y respeto por el dolor de los que quedan ,sus padres ,su mujer y sus hijos","Es una noticia muy triste para cualquiera de nosotros aún sin conocerlo Ellos están en paz. Tener compasión y respeto por el dolor de los que quedan ,sus padres ,su mujer y sus hijos"
"Es muy lamentable ver comentarios sin compasión ,sin pensar que ya nada puede ser más doloroso que perder 2 hijos","Es muy lamentable ver comentarios sin compasión ,sin pensar que ya nada puede ser más doloroso que perder 2 hijos"
"Que triste,que triste Epd","Que triste,que triste Epd"
"Dios fortalece a su esposa, a su madre a sus hijos.. Que tragedia Dios qepd. Que brille para ellos la luz eterna","Dios fortalece a su esposa, a su madre a sus hijos.. Que tragedia Dios qepd. Que brille para ellos la luz eterna"
"Si de por sí es peligroso ir a altas velocidad, ahora imagínense en un Lamborghini , descansa en paz campeón","Si de por sí es peligroso ir a altas velocidad, ahora imagínense en un Lamborghini , descansa en paz campeón"
QEPD resignacion para toda la familia,QEPD resignacion para toda la familia
En un accidente de tránsito perdió la vida él y su hermano,En un accidente de tránsito perdió la vida él y su hermano
QUE FUERTE,QUE FUERTE
"Le regalaste tanta felicidad a los tuyos , y le dejaste miles de recuerdos, pero la mas hermosa , fue esa bendicion en el altar que aca se peremnizara . Joven lleno de vida hoy te toca ver a los tuyos desde otro lugar, pero los seguiras cuidando","Le regalaste tanta felicidad a los tuyos , y le dejaste miles de recuerdos, pero la mas hermosa , fue esa bendicion en el altar que aca se peremnizara . Joven lleno de vida hoy te toca ver a los tuyos desde otro lugar, pero los seguiras cuidando"
Q.E.P.D.,Q.E.P.D.
"Que tragedia, pobre familia, y esos niños crecer sin su padre,perdido de esa manera. Y sus padres,volar alto k la tierra os sea leve.","Que tragedia, pobre familia, y esos niños crecer sin su padre,perdido de esa manera. Y sus padres,volar alto k la tierra os sea leve."
Mi más sentido pésame para la familia de Diogo jota un gran jugador,Mi más sentido pésame para la familia de Diogo jota un gran jugador
QEPD que tristeza,QEPD que tristeza
Descanse en paz,Descanse en paz
"Tragica noticia!! Fortaleza para su familia,que dios Lo resiba en su reyno
￼￼","Tragica noticia!! Fortaleza para su familia,que dios Lo resiba en su reyno"
Permiso para llorar soldado,Permiso para llorar soldado
Q dolor tan grande siento !!! No puedo inmaginar esa familia !!,Q dolor tan grande siento !!! No puedo inmaginar esa familia !!
Fuerzas y fortaleza a la familia y a su esposa junto con sus hijos . que Dios los consuele.,Fuerzas y fortaleza a la familia y a su esposa junto con sus hijos . que Dios los consuele.
"Que tristeza y dolor siente el mundo por esta tragedia, Dios dale fuerza a su familia para que puedan recuperarse de tanto dolor. Descansa en Paz Diogo Jota, Dios cuidará de tu familia y todos elevaremos plegarias de Fe y Esperanza en estos momentos de pena y dolor.","Que tristeza y dolor siente el mundo por esta tragedia, Dios dale fuerza a su familia para que puedan recuperarse de tanto dolor. Descansa en Paz Diogo Jota, Dios cuidará de tu familia y todos elevaremos plegarias de Fe y Esperanza en estos momentos de pena y dolor."
que pena pobre familia,que pena pobre familia
"Una tragedia que nos entristece a todos
.","Una tragedia que nos entristece a todos
."
"Que pena
.","Que pena
."
Ayer jugaba FC 25 la FA Cup y este señor me hacía la vida imposible me hacía 3 goles y acepté mi derrota porque soy equipo de 3 división y me parece curioso despertar y leer esto....No me lo creo :c,Ayer jugaba FC 25 la FA Cup y este señor me hacía la vida imposible me hacía 3 goles y acepté mi derrota porque soy equipo de 3 división y me parece curioso despertar y leer esto....No me lo creo c
sin palabras,sin palabras
Mis condolencias a su Familia y Amigos..,Mis condolencias a su Familia y Amigos..
No sé puede decir mucho más ante semejante momento de dolor,No sé puede decir mucho más ante semejante momento de dolor
Que pena más grande para familia jamás podrán olvidarlo tanto dolor q diosito los consuele rogarremis por ello,Que pena más grande para familia jamás podrán olvidarlo tanto dolor q diosito los consuele rogarremis por ello
"Qué se le cruzó por la cabeza, salir a tanta velocidad, lamentablemente las malas decisiones del momento ,tienen consecuencias, y ahora pagan los inocentes. La familia hermosa qué tenía...","Qué se le cruzó por la cabeza, salir a tanta velocidad, lamentablemente las malas decisiones del momento ,tienen consecuencias, y ahora pagan los inocentes. La familia hermosa qué tenía..."
Que pena para toda su familia,Que pena para toda su familia
El DOLOR ES INCONTROLABLE,El DOLOR ES INCONTROLABLE
Lo lamento por los escuincles son muy pequeños para crecer sin un padre y lo más probable es que crezcan con un padre putativo ni modo así es la vida,Lo lamento por los escuincles son muy pequeños para crecer sin un padre y lo más probable es que crezcan con un padre putativo ni modo así es la vida
Tantas tristezas juntas!!!!!,Tantas tristezas juntas!!!!!
Es de Dios.,Es de Dios.
"Fortaleza a sus familiares
pero con todo respeto que le sucedió?","Fortaleza a sus familiares
pero con todo respeto que le sucedió?"
Era un gran jugador y una gran persona,Era un gran jugador y una gran persona
"No murió, solo lo contrataron en una super liga donde no hay cansancio y será titular eternamente...","No murió, solo lo contrataron en una super liga donde no hay cansancio y será titular eternamente..."
"Definitivo muy duro, y aunque joven y le faltaba mucho por vivir, disfruto su tiempo en la tierra y aprovecho su tiempo","Definitivo muy duro, y aunque joven y le faltaba mucho por vivir, disfruto su tiempo en la tierra y aprovecho su tiempo"
"despertar y ver esta noticia de no creer que dolor tan fuerte sentirá sus seres queridos, que Dios los tenga en su santa gloria
el fútbol se viste de luto","despertar y ver esta noticia de no creer que dolor tan fuerte sentirá sus seres queridos, que Dios los tenga en su santa gloria
el fútbol se viste de luto"
"Dios mio les distes muchos momentos felices y hoy les quitaste, señor que descanse en paz","Dios mio les distes muchos momentos felices y hoy les quitaste, señor que descanse en paz"
"Sus hijitos son demasiado pequeñitos para recordarlo
, consuelo y resignación para su esposa y su pobre madre que perdió a dos hijos","Sus hijitos son demasiado pequeñitos para recordarlo
, consuelo y resignación para su esposa y su pobre madre que perdió a dos hijos"
En Paz Descanse el gran Campeón,En Paz Descanse el gran Campeón
"Que gran tristeza para su esposa, hijitos y toda su familia. Descansen en paz los dos hermanos","Que gran tristeza para su esposa, hijitos y toda su familia. Descansen en paz los dos hermanos"
Que pena,Que pena
K triste Meu deus descansa em Paz,K triste Meu deus descansa em Paz
El sr recivira en su gloria,El sr recivira en su gloria
QEPD fortaleza para familiares y amigos,QEPD fortaleza para familiares y amigos
Que triztesa x Dios QEPD,Que triztesa x Dios QEPD
Que descansen en paz y mucha fortaleza para su familia padres esposa e hijitos tan pekeñitos pierden a su padre y tío a la vez muy triste,Que descansen en paz y mucha fortaleza para su familia padres esposa e hijitos tan pekeñitos pierden a su padre y tío a la vez muy triste
Qué pena por dios que desgracia más grande,Qué pena por dios que desgracia más grande
Que tragedia,Que tragedia
Fortaleza,Fortaleza
Epd,Epd
Que en paz descanse y brille para él la luz perpetua. Dios conforte a toda la familia.,Que en paz descanse y brille para él la luz perpetua. Dios conforte a toda la familia.
Disculpen de qué murió,Disculpen de qué murió
Pobresito,Pobresito
Que Jóvenes una Pena D.E.P,Que Jóvenes una Pena D.E.P
"Que Dios le de mucha fortaleza a su familia, especialmente a sus hijos y esposa","Que Dios le de mucha fortaleza a su familia, especialmente a sus hijos y esposa"
"Que fuerte, un baño de realidad para todos incluso para nosotros del común pensamos que por ser jóvenes vamos a vivir 100 años. Cuidese","Que fuerte, un baño de realidad para todos incluso para nosotros del común pensamos que por ser jóvenes vamos a vivir 100 años. Cuidese"
Una noticia muy triste.Que descanse en paz.,Una noticia muy triste.Que descanse en paz.
QEPD Goleador,QEPD Goleador
Y la fortuna para la mujer,Y la fortuna para la mujer
Muy triste noticia…,Muy triste noticia
Triste d.e..p,Triste d.e..p
Es muy doloroso que haya perdido su vida de manera tan tragica que descanse en paz,Es muy doloroso que haya perdido su vida de manera tan tragica que descanse en paz
QDEP y pésame a la flia,QDEP y pésame a la flia
Dios mio DEP fortaleza para su flia,Dios mio DEP fortaleza para su flia
Ojalá todos aprendan estas lecciones de vida …. Estas personalidades muchas veces. Se consideran reyes del mundo y ya ven somos seres humanos muy frágiles …!,Ojalá todos aprendan estas lecciones de vida . Estas personalidades muchas veces. Se consideran reyes del mundo y ya ven somos seres humanos muy frágiles !
Se imaginan ustedes a qué velocidad. Iban estas dos personas…. Que en su momento no pensaron. Que podrían morir .!,Se imaginan ustedes a qué velocidad. Iban estas dos personas. Que en su momento no pensaron. Que podrían morir .!
Solo resta decir Q.E.P.D,Solo resta decir Q.E.P.D
EL FUTBOL ESTA DE DUELO SENTIDO PESAME,EL FUTBOL ESTA DE DUELO SENTIDO PESAME
"Que tristeza, que Dios le dé fortaleza a su esposa y que proteja, guíe e ilumine a los niños","Que tristeza, que Dios le dé fortaleza a su esposa y que proteja, guíe e ilumine a los niños"
Q triste,Q triste
En paz descanse,En paz descanse
Que pena más grande,Que pena más grande
"No hay palabras....
QEPD","No hay palabras....
QEPD"
Qué pena. Fallecer los dos hermanos tan jóvenes. Que Dios los tenga en su gloria y ayude a su familia. Brille para ellos la luz eterna,Qué pena. Fallecer los dos hermanos tan jóvenes. Que Dios los tenga en su gloria y ayude a su familia. Brille para ellos la luz eterna
"Vivan la vida, amen, perdonen, visiten a sus padres asus hermanos.....","Vivan la vida, amen, perdonen, visiten a sus padres asus hermanos....."
"Los niños Dios los bendiga,es difícil quedar sin padre","Los niños Dios los bendiga,es difícil quedar sin padre"
"Qué triste, que Dios te tenga entre sus brazos","Qué triste, que Dios te tenga entre sus brazos"
EPD,EPD
"Q.E.P.D. y brille para él,la luz que no tiene fin","Q.E.P.D. y brille para él,la luz que no tiene fin"
Qué pena por favor lo siento por él y por su hermano y ellos padres lo que estarán sufriendo se le han ido dos hijos,Qué pena por favor lo siento por él y por su hermano y ellos padres lo que estarán sufriendo se le han ido dos hijos
"Descansa, en paz","Descansa, en paz"
Que bonita foto la vida es muy injusta,Que bonita foto la vida es muy injusta
Descanse en Paz y gose de la gloria eterna del Señor mis condolencias para su familia,Descanse en Paz y gose de la gloria eterna del Señor mis condolencias para su familia
El señor le de Fortaleza y fuerza a toda su flia,El señor le de Fortaleza y fuerza a toda su flia
Con su hermano de copiloto perdón dios si me quejo de la vida.....,Con su hermano de copiloto perdón dios si me quejo de la vida.....
Que Dios bendiga su familia con gran consuelo.,Que Dios bendiga su familia con gran consuelo.
Mi más sentido pésame para toda la familia,Mi más sentido pésame para toda la familia
No lo creo,No lo creo
QEPD,QEPD
Todo el tiempo mueren banda de personas y más inocentes para que publican cosas para dar lastima o más fama ! Hay cosas mejores,Todo el tiempo mueren banda de personas y más inocentes para que publican cosas para dar lastima o más fama ! Hay cosas mejores
Mucha fortaleza para toda la familia en Cristo Jesús,Mucha fortaleza para toda la familia en Cristo Jesús
De que murió o como??,De que murió o como??
"Que perdida tan irreparable para su familia y el fútbol q,e,p,d","Que perdida tan irreparable para su familia y el fútbol q,e,p,d"
EPD.,EPD.
EPD Diogo Jota,EPD Diogo Jota
Descansa en Paz. Cuida de tu familia,Descansa en Paz. Cuida de tu familia
Grande Diego jota Dios de fuersa a la familia,Grande Diego jota Dios de fuersa a la familia
"Que triste perdida,EPD.","Que triste perdida,EPD."
Pobre anjelito que se quedan sin su padre que en pas descanses ese joben que dios le de el descanso eterno y brille para el la luz que no tiene fin,Pobre anjelito que se quedan sin su padre que en pas descanses ese joben que dios le de el descanso eterno y brille para el la luz que no tiene fin
Descansa en paz Diogo,Descansa en paz Diogo
"Terrible noticia ! Descansad en paz hermanos
mis más sentido pésame a la familia , amigos, compañeros , devastador","Terrible noticia ! Descansad en paz hermanos
mis más sentido pésame a la familia , amigos, compañeros , devastador"
Dios mío que tristeza,Dios mío que tristeza
"Siento demasiada tristeza,Dios dales el descanso eterno,Amén","Siento demasiada tristeza,Dios dales el descanso eterno,Amén"
So sad …,So sad
"Él concejo como padre y abuelo para los jóvenes es, q cuando uno tiene familia hay q cuidarse la vida, al doble o al triple depende los hijos q tenga porque son los q van a sufrir así vivan en un palacio, porque la pareja sí queda nueva buscá su consuelo","Él concejo como padre y abuelo para los jóvenes es, q cuando uno tiene familia hay q cuidarse la vida, al doble o al triple depende los hijos q tenga porque son los q van a sufrir así vivan en un palacio, porque la pareja sí queda nueva buscá su consuelo"
"Todos los días muere la gente ,por que no hablan de su hermano también.","Todos los días muere la gente ,por que no hablan de su hermano también."
Que triste QEPD. Dios lo tenga en Du Santísima Gloria,Que triste QEPD. Dios lo tenga en Du Santísima Gloria
D.E.P. y condolencias a la familia,D.E.P. y condolencias a la familia
"Estoy en shock..
no lo puedo creer","Estoy en shock..
no lo puedo creer"
Amen,Amen
"No es posible, hecho no entendible . Fortaleza para su familia.","No es posible, hecho no entendible . Fortaleza para su familia."
Q.E.P.D y mucha fortaleza a tu familia.,Q.E.P.D y mucha fortaleza a tu familia.
"Yo no sé de fútbol,pero tengo hijos hermanos , esposo y por eso me dolió,hasta derramar lágrimas,Dios fortalezca a toda su familia,un abrazo a la distancia","Yo no sé de fútbol,pero tengo hijos hermanos , esposo y por eso me dolió,hasta derramar lágrimas,Dios fortalezca a toda su familia,un abrazo a la distancia"
"Triste noticia
QEPD","Triste noticia
QEPD"
Es la voluntad de Dios y el decide todo,Es la voluntad de Dios y el decide todo
Abrazos de luz a su famila,Abrazos de luz a su famila
"3 hijos?, que man tan culion !! Ahora quien los va a cuidar","3 hijos?, que man tan culion !! Ahora quien los va a cuidar"
"Ahora sí con el fallecimiento de este señor junto con el último mundial de cr7, se va a desatar un estado anímico de Portugal nunca antes visto, puede que lleguen a ganar mundial, o se lo regalen con base a la lógica de muchos antimessis, lo cual es muy poco probable, lo que si es probable es que Portugal gane el mundial legítimamente, el estado de ánimo lo es todo en el fútbol y esta selección promete bastante ahora mismo, eso me enseñó la actual campeona del mundo, Argentina","Ahora sí con el fallecimiento de este señor junto con el último mundial de cr7, se va a desatar un estado anímico de Portugal nunca antes visto, puede que lleguen a ganar mundial, o se lo regalen con base a la lógica de muchos antimessis, lo cual es muy poco probable, lo que si es probable es que Portugal gane el mundial legítimamente, el estado de ánimo lo es todo en el fútbol y esta selección promete bastante ahora mismo, eso me enseñó la actual campeona del mundo, Argentina"
"Solo le pido a Dios, que nos de fortaleza a sus familiares y amigos, Dios les Bendiga siempre saludos","Solo le pido a Dios, que nos de fortaleza a sus familiares y amigos, Dios les Bendiga siempre saludos"
Dios los recibe en su Reino,Dios los recibe en su Reino
"Y de la manera que está establecido para los hombres que mueran una sola vez, y después de esto el juicio,","Y de la manera que está establecido para los hombres que mueran una sola vez, y después de esto el juicio,"
"Que triste noticia, que Dios de fortaleza a su familia","Que triste noticia, que Dios de fortaleza a su familia"
"Esto me dejó sorprendido , vuela alto amigo","Esto me dejó sorprendido , vuela alto amigo"
"Que triste noticia dios padre
les de el consuelo a la familia","Que triste noticia dios padre
les de el consuelo a la familia"
"Dios mío por eso es que todos los días se debe estar en paz con Dios, consuelo para sus padres quedaron huérfanos.","Dios mío por eso es que todos los días se debe estar en paz con Dios, consuelo para sus padres quedaron huérfanos."
"Que triste noticia, tragedia y dolor, cuando todo lo tenía, partió así de pronto en una pista donde la vida le cerró una gran puerta.","Que triste noticia, tragedia y dolor, cuando todo lo tenía, partió así de pronto en una pista donde la vida le cerró una gran puerta."
"Un gran jugador que así lo demostró,
se le extrañara en las canchas por su calidad y genio era de los buenos.deja las canchas hacia un plano celestial, oraciones y paz eterna. Que una estrella sea guía para sus hijos aún pequeñines y consuelo y resignación para su esposa","Un gran jugador que así lo demostró,
se le extrañara en las canchas por su calidad y genio era de los buenos.deja las canchas hacia un plano celestial, oraciones y paz eterna. Que una estrella sea guía para sus hijos aún pequeñines y consuelo y resignación para su esposa"
Fortaleza ante este suceso. Dios acompañe a Diogo y su hermano Andre hacia el reino de los cielos.,Fortaleza ante este suceso. Dios acompañe a Diogo y su hermano Andre hacia el reino de los cielos.
"Ante otros acontecimientos que entristecen al mundo, hoy el fútbol en el mundo está de duelo","Ante otros acontecimientos que entristecen al mundo, hoy el fútbol en el mundo está de duelo"
QEPD,QEPD
Desde Perú,Desde Perú
"Como lo explicás?uno que no lo conocia lo siente en el alma, como será para sus seres queridos? Corazones rotos por todos lados.","Como lo explicás?uno que no lo conocia lo siente en el alma, como será para sus seres queridos? Corazones rotos por todos lados."
Que. Dolor. En. El. Alma. Demasiado. Triste. Un. Hombre. Joven. Sus. Niños. Que. El. Señor. Les. De. Mucha. Fortaleza. Estás. En. El. Mejor lugar. Del. Mundo. Descanse. En. Paz,Que. Dolor. En. El. Alma. Demasiado. Triste. Un. Hombre. Joven. Sus. Niños. Que. El. Señor. Les. De. Mucha. Fortaleza. Estás. En. El. Mejor lugar. Del. Mundo. Descanse. En. Paz
"D.E.P,TAN JOVEN,QUE PENA","D.E.P,TAN JOVEN,QUE PENA"
"Así de caprichoso es el destino, D.E.P Diogo","Así de caprichoso es el destino, D.E.P Diogo"
Que injusta es la vida RIP crack,Que injusta es la vida RIP crack
